400,83100,14/07/20 01:08:22 AM,Withdraw
500,83500,14/07/20 01:08:15 AM,Withdraw
900,84000,27/05/20 06:05:18 PM,Withdraw
200,84900,22/05/20 12:44:31 AM,Withdraw
500,85100,22/05/20 12:44:25 AM,Deposit
400,84600,22/05/20 12:44:21 AM,Deposit
200,84200,22/05/20 12:44:18 AM,Withdraw
200,84400,22/05/20 12:44:13 AM,Withdraw
400,84600,22/05/20 12:42:44 AM,Withdraw
400,85000,22/05/20 12:42:40 AM,Withdraw
200,85400,22/05/20 12:42:00 AM,Withdraw
400,85200,22/05/20 12:41:55 AM,Withdraw
500,85600,22/05/20 12:37:24 AM,Withdraw
500,85600,22/05/20 12:37:20 AM,Withdraw
400,86100,22/05/20 12:36:44 AM,Deposit
400,86100,22/05/20 12:36:38 AM,Deposit
400,85300,22/05/20 12:34:57 AM,Withdraw
400,85300,22/05/20 12:34:54 AM,Withdraw
100,85700,20/05/20 11:00:12 AM,Deposit
500,86100,20/05/20 11:00:01 AM,Deposit
400,85600,20/05/20 10:59:33 AM,Deposit
500,85700,20/05/20 10:59:20 AM,Deposit
300,84900,20/05/20 10:57:33 AM,Withdraw
200,85200,20/05/20 10:33:31 AM,Withdraw
200,85400,20/05/20 10:32:07 AM,Withdraw
200,85600,20/05/20 10:28:48 AM,Withdraw
200,85800,20/05/20 10:26:43 AM,Withdraw
400,85600,20/05/20 10:26:38 AM,Withdraw
500,86000,20/05/20 10:24:20 AM,Deposit
500,85500,20/05/20 10:23:20 AM,Withdraw
500,86000,20/05/20 10:21:25 AM,Withdraw
500,86500,20/05/20 10:19:05 AM,Deposit
500,86000,20/05/20 04:07:12 AM,Withdraw
